ID  , Type, HP , DMG, Lvl, Evolve, Boss , is_alive, Co-ords
ᵟA0 , ᵟ   , 198,  15,  10, True  , False, True    , "(0, 1)"
ΩB1 , Ω   , 36 ,  10,   5, True  , True , True    , "(4, 8)"
ᵟC2 , ᵟ   , 130,   3,   6, False , True , True    , "(2, 6)"
ᵟD3 , ᵟ   , -15,   5,   2, True  , False, False   , "(1, 7)"
ᵟE4 , ᵟ   , 57 ,   1,   3, False , True , True    , "(3, 3)"
ΩF5 , Ω   , 72 ,  15,   5, True  , False, True    , "(8, 9)"
ᵟG6 , ᵟ   , 27 ,   3,   5, False , False, True    , "(7, 7)"
ᵟH7 , ᵟ   , 35 ,   2,   4, True  , False, True    , "(6, 6)"
ᵟI8 , ᵟ   , 23 ,   4,   3, True  , False, True    , "(3, 6)"
ᵟJ9 , ᵟ   , 20 ,   3,   4, False , False, True    , "(4, 2)"
ΩK10, Ω   , 162,  21,  12, False , False, True    , "(2, 0)"
ᵟL11, ᵟ   , 58 ,   1,   1, False , False, True    , "(8, 6)"
ᵟM12, ᵟ   , 48 ,   3,   5, False , False, True    , "(2, 7)"
ᵟN13, ᵟ   , 36 ,   6,   3, True  , False, True    , "(7, 5)"
ᵟO14, ᵟ   , 66 ,   4,   4, True  , True , True    , "(10, 5)"
ᵟP15, ᵟ   , 32 ,   3,   4, True  , False, True    , "(8, 3)"
ΩQ16, Ω   , 50 ,  10,   5, False , True , True    , "(2, 9)"
ᵟR17, ᵟ   , 171,   9,   2, False , False, True    , "(6, 10)"
ᵟS18, ᵟ   , 130,   3,   6, False , False, True    , "(4, 10)"
ᵟT19, ᵟ   , 40 ,   1,   2, False , False, True    , "(9, 5)"
ᵟU20, ᵟ   , 29 ,   4,   2, False , False, True    , "(5, 1)"
ᵟV21, ᵟ   , 153,   6,   4, True  , False, True    , "(10, 2)"
ᵟW22, ᵟ   , 31 ,   4,   1, True  , False, True    , "(10, 9)"
