Timestamp,Mob_Type,X,Y
2026-01-11 17:59:30,Weak,3,6
2026-01-11 17:59:31,Weak,3,4
2026-01-11 17:59:31,Weak,3,9
2026-01-11 17:59:31,Strong,3,2
2026-01-11 17:59:31,Strong,5,0
2026-01-11 17:59:31,Strong,6,1
2026-01-11 17:59:31,Weak,5,6
2026-01-11 17:59:31,Strong,5,7
2026-01-11 17:59:31,Strong,8,2
2026-01-11 17:59:31,Strong,7,6
2026-01-11 17:59:31,Weak,8,10
2026-01-11 17:59:31,Strong,8,7
2026-01-11 17:59:31,Weak,9,2
2026-01-11 17:59:31,Weak,0,9
2026-01-11 17:59:31,Strong,1,1
2026-01-11 17:59:31,Strong,1,5
2026-01-11 17:59:31,Weak,3,5
2026-01-11 17:59:31,Strong,4,7
2026-01-11 17:59:31,Weak,4,2
2026-01-11 17:59:31,Strong,3,3
2026-01-11 17:59:31,Strong,5,1
2026-01-11 17:59:31,Strong,4,4
2026-01-11 17:59:31,Strong,7,1
2026-01-11 17:59:31,Strong,6,7
2026-01-11 17:59:31,Weak,6,10
2026-01-11 17:59:31,Strong,6,6
2026-01-11 17:59:31,Strong,8,8
2026-01-11 17:59:31,Strong,9,7
2026-01-11 17:59:31,Weak,0,10
2026-01-11 17:59:31,Strong,0,1
2026-01-11 17:59:31,Strong,1,1
2026-01-11 17:59:31,Strong,2,5
2026-01-11 17:59:31,Weak,1,7
2026-01-11 17:59:31,Weak,4,5
2026-01-11 17:59:31,Weak,4,6
2026-01-11 17:59:31,Weak,3,8
2026-01-11 17:59:31,Strong,4,8
2026-01-11 17:59:31,Weak,3,2
2026-01-11 17:59:31,Strong,4,1
2026-01-11 17:59:31,Strong,5,7
2026-01-11 17:59:31,Weak,7,10
2026-01-11 17:59:31,Strong,6,7
2026-01-11 17:59:31,Strong,7,8
2026-01-11 17:59:31,Weak,9,3
2026-01-11 17:59:31,Strong,9,8
2026-01-11 17:59:31,Weak,10,7
2026-01-11 17:59:31,Strong,0,0
2026-01-11 17:59:31,Strong,2,1
2026-01-11 17:59:31,Weak,4,7
2026-01-11 17:59:31,Weak,3,7
2026-01-11 17:59:31,Strong,4,9
2026-01-11 17:59:31,Weak,2,9
2026-01-11 17:59:31,Weak,4,2
2026-01-11 17:59:31,Strong,4,3
2026-01-11 17:59:31,Weak,7,9
2026-01-11 17:59:31,Strong,7,2
2026-01-11 17:59:31,Weak,7,10
2026-01-11 17:59:31,Strong,8,8
2026-01-11 17:59:31,Weak,8,3
2026-01-11 17:59:31,Weak,10,8
2026-01-11 17:59:31,Strong,1,6
2026-01-11 17:59:31,Weak,1,10
2026-01-11 17:59:31,Strong,1,1
2026-01-11 17:59:31,Strong,3,5
2026-01-11 17:59:31,Weak,1,8
2026-01-11 17:59:31,Weak,3,8
2026-01-11 17:59:31,Weak,1,9
2026-01-11 17:59:31,Strong,3,3
2026-01-11 17:59:31,Strong,3,1
2026-01-11 17:59:31,Strong,4,3
2026-01-11 17:59:31,Weak,7,8
2026-01-11 17:59:31,Strong,7,7
2026-01-11 17:59:31,Weak,7,9
2026-01-11 17:59:31,Strong,8,9
2026-01-11 17:59:31,Strong,9,2
2026-01-11 17:59:31,Strong,8,8
2026-01-11 17:59:31,Strong,1,5
2026-01-11 17:59:31,Weak,0,10
2026-01-11 17:59:31,Strong,2,1
2026-01-11 17:59:31,Strong,2,5
2026-01-11 17:59:31,Weak,1,7
2026-01-11 17:59:31,Weak,4,6
2026-01-11 17:59:31,Weak,2,8
2026-01-11 17:59:31,Weak,2,9
2026-01-11 17:59:31,Weak,4,1
2026-01-11 17:59:31,Strong,4,2
2026-01-11 17:59:31,Strong,7,6
2026-01-11 17:59:31,Weak,7,10
2026-01-11 17:59:31,Weak,9,1
2026-01-11 17:59:31,Strong,8,10
2026-01-11 17:59:31,Strong,10,2
2026-01-11 17:59:31,Weak,8,2
2026-01-11 17:59:31,Strong,8,9
2026-01-11 17:59:31,Weak,9,8
2026-01-11 17:59:31,Weak,9,9
2026-01-11 17:59:41,Strong,2,6
2026-01-11 17:59:41,Strong,1,0
2026-01-11 17:59:41,Weak,1,6
2026-01-11 17:59:41,Weak,3,8
2026-01-11 17:59:41,Weak,5,1
2026-01-11 17:59:41,Strong,4,3
2026-01-11 17:59:41,Strong,3,0
2026-01-11 17:59:41,Strong,8,1
2026-01-11 17:59:41,Weak,6,10
2026-01-11 17:59:41,Weak,9,2
2026-01-11 17:59:41,Strong,9,10
